Name,Absolute_magnitude,Color_index,Diameter_km,Argument_of_perihelion,Longitude_of_ascending_node,Inclination,Eccentricity,Semimajor_axis_AU
Russia,10.44,0.70,53.3,51.838346,152.198942,6.066081,0.17420558,2.55226114
Asterope,8.46,0.78,102.8,126.554626,221.949232,7.692235,0.09970343,2.65934351
Barbara,9.10,0.87,43.8,192.376085,144.492788,15.375095,0.24509876,2.38552294
Carolina,8.92,0.90,57.6,208.017007,65.988717,9.029561,0.0610789,2.88257366
Honoria,8.28,0.85,86.2,174.242904,185.804047,7.700321,0.1905809,2.79746207
Coelestina,9.24,0.79,41.1,200.871228,84.22249,9.746827,0.07120214,2.76298191
Hypatia,8.11,0.73,148.5,210.607766,183.866924,12.415486,0.09076525,2.90492019
Vanadis,9.20,0.70,103.9,300.951356,115.062971,2.105732,0.20870868,2.66272446
Germania,7.81,0.69,168.9,80.423973,270.293343,5.503376,0.1046611,3.05024697
Ida,9.98,0.81,28.0,113.820528,323.605165,1.129733,0.04418685,2.86136749
Vera,7.84,0.84,79.5,331.742771,61.037062,5.178925,0.19747296,3.09742246
Asporina,8.52,0.99,60.1,96.21315,162.275217,15.621188,0.108661,2.69440788
Eukrate,8.33,0.69,134.4,55.349959,0.050713,24.957223,0.24614714,2.73955519
Bettina,7.57,0.72,79.8,75.773888,23.808825,12.819914,0.13608125,3.14445393
Augusta,11.73,0.85,12.1,233.071382,28.427172,4.512088,0.12138234,2.19475081
Oppavia,10.40,0.68,57.4,154.806737,13.582904,9.463778,0.07893973,2.74611428
Silesia,9.48,0.76,72.7,31.81966,34.051217,3.613064,0.11224384,3.11987501
Tyche,8.35,0.86,64.8,155.633899,207.53908,14.328348,0.20533918,2.61523888
Aletheia,7.89,0.67,178.6,166.730757,86.789989,10.809691,0.12979153,3.13068952
Huberta,9.22,0.71,94.7,180.113316,164.944089,6.42012,0.10794097,3.44872857
Prymno,9.51,0.69,50.9,66.822426,96.583976,3.633715,0.08988287,2.33138706
Libussa,8.38,0.84,50.5,339.828266,49.491136,10.427439,0.13586144,2.79720595
Aline,8.80,0.71,109.1,151.87253,235.812297,13.401184,0.15430613,2.80594971
Tirza,10.29,0.80,52.7,197.14388,73.597058,6.006146,0.10094984,2.77575594
Adorea,8.50,0.64,139.9,68.319577,120.850391,2.440292,0.13674955,3.09378241
Anahita,8.84,0.87,50.8,80.621196,254.303882,2.367109,0.15003425,2.19873841
Penthesilea,9.93,0.71,57.9,56.758884,335.342607,3.535313,0.10496394,3.00750886
Atropos,10.48,0.76,29.3,121.289348,158.911626,20.450359,0.1598846,2.39549541
Sapientia,8.95,0.72,121.0,39.339142,134.036061,4.764254,0.163306,2.77012901
Adelheid,8.62,0.71,121.6,264.788701,210.984905,21.657292,0.06333387,3.12378331
Elvira,9.93,0.83,27.2,135.884289,230.989234,1.165483,0.09262976,2.88586591
Thule,8.52,0.75,126.6,27.427703,71.878728,2.334857,0.04387031,4.26433591
Lucretia,11.91,0.95,11.8,16.851099,31.338487,5.302297,0.13180551,2.18802751
Clorinde,11.03,0.63,39.0,296.763032,144.878175,9.03694,0.08150198,2.33848761
Emma,8.69,0.71,148.1,55.630059,303.88264,7.986276,0.14435774,3.05030002
Amalia,10.26,0.70,53.1,58.02938,233.673022,8.054445,0.22140403,2.35932868
Iclea,9.09,0.67,96.9,210.089358,148.932965,17.942645,0.02403116,3.19237161
Nephthys,8.34,0.87,67.6,120.370271,142.317596,10.035259,0.02257251,2.35272235
Glauke,9.85,0.85,32.2,84.432819,120.106,4.337782,0.2058173,2.76060793
Nenetta,9.58,1.05,33.7,190.633458,181.927879,6.680897,0.20185634,2.87612485
Brasilia,10.27,0.72,55.1,87.493737,61.102889,15.5892,0.10290952,2.86655236
Theresia,10.00,0.85,27.7,148.339697,275.883845,2.699956,0.16740942,2.79729309
Clarissa,11.13,0.65,38.5,55.141887,7.732756,3.413419,0.11019678,2.40634319
Olga,9.90,0.71,67.9,172.553802,159.013896,15.848864,0.22162943,2.40286234
Gordonia,8.89,0.89,49.2,260.603837,207.460027,4.450829,0.19633708,3.08951684
Unitas,8.85,0.86,46.7,168.152903,141.855165,7.27768,0.15085835,2.35809337
Nike,10.12,0.67,55.0,323.946644,100.941852,6.124941,0.14387498,2.90693659
Polyxo,8.17,0.79,140.7,112.412452,181.591602,4.362808,0.03907495,2.74986363
Claudia,10.00,0.83,24.1,79.363294,80.968116,3.224046,0.00563589,2.89755892
Pierretta,8.84,0.84,50.0,262.183317,6.202285,9.036367,0.16043554,2.78066601
Chaldaea,9.09,0.71,96.3,315.815729,176.574884,11.652095,0.18194002,2.37442052
Roxane,9.82,0.67,18.7,187.237763,151.345557,1.766134,0.08552874,2.28664614
Florentina,10.16,0.79,27.2,35.055455,40.205597,2.587396,0.04736563,2.88378936
Phaeo,9.14,0.72,70.8,114.806505,252.304744,8.044552,0.24470131,2.78367976
Brucia,9.55,0.90,35.8,291.589981,97.290398,24.258122,0.29971782,2.38174745
Bamberga,7.12,0.70,229.4,44.137103,327.852027,11.102381,0.3412951,2.68047566
Heidelberga,8.80,0.70,75.7,70.737641,344.210531,8.574712,0.15128251,3.21535837
Tamara,9.34,0.71,93.0,238.520593,32.168614,23.724495,0.18964171,2.31774322
Gudrun,8.89,0.89,122.9,107.264756,351.89141,16.134915,0.10732826,3.10829316
Svea,9.66,0.69,77.8,57.9489,178.450823,15.88321,0.0253417,2.47731134
Etheridgea,9.81,0.70,74.9,334.016834,21.85087,6.036454,0.09588221,3.02718503
Badenia,9.51,0.75,78.2,23.062744,353.151563,3.738724,0.16003922,3.13236643
Chicago,7.73,0.72,155.8,153.638573,130.164781,4.641472,0.02502329,3.89393354
Roberta,9.10,0.62,89.1,139.816965,148.42436,5.102607,0.17228279,2.47576446
Lacadiera,9.85,0.73,69.3,30.949147,234.986363,5.651729,0.09534034,2.25196445
Devosa,8.80,0.69,59.1,99.461192,355.343354,7.859638,0.13642435,2.38371153
Budrosa,8.59,0.70,63.1,109.209242,287.307921,6.039041,0.01819673,2.9111528
Dorothea,9.47,0.77,38.2,164.678633,173.490594,9.966607,0.09923435,3.01209673
California,11.36,0.92,14.7,293.920469,29.012135,5.667039,0.19428146,2.19958132
Endymion,10.25,0.71,60.6,224.88694,232.653156,7.353945,0.13020453,2.56736758
Ostara,11.74,0.77,19.1,10.24368,38.580136,3.259884,0.22993129,2.41086832
Desiderata,8.38,0.71,132.2,237.494745,47.995361,18.353078,0.314008,2.59519913
Tercidina,8.98,0.72,94.1,230.969912,212.588653,9.745232,0.0620365,2.32470995
Hermentaria,7.38,0.85,106.5,291.58807,91.910696,8.750715,0.10322188,2.79667381
Pariana,9.08,0.68,51.3,86.849464,85.327467,11.672785,0.16414909,2.6157431
Dembowska,6.04,0.93,139.8,344.313492,32.193158,8.250852,0.08945379,2.92305943
Ornamenta,8.52,0.69,118.3,337.767428,90.082002,24.899448,0.16024426,3.10740059
Yrsa,9.08,0.84,39.6,31.755927,99.188287,9.205962,0.15595851,2.76552903
Gisela,10.19,0.90,20.3,144.440164,247.219864,3.384198,0.14941482,2.19397871
Eleonora,6.14,0.95,155.2,7.51902,140.245604,18.360337,0.11154273,2.80123447
Liguria,8.43,0.73,131.3,79.348358,354.499425,8.204745,0.24137086,2.75496228
Ninina,8.90,0.72,106.1,255.685643,137.630961,15.053976,0.07760745,3.15090805
Georgia,9.35,0.70,43.9,337.916983,6.004085,6.774447,0.15672323,2.72799717
