Name,Absolute_magnitude,Argument_of_perihelion,Longitude_of_ascending_node,Inclination,Eccentricity,Semimajor_axis_AU
2013GS81,18.22,210.844399,33.337231,1.799883,0.13722631,2.27761565
2013HX57,18.02,319.112723,329.985351,3.832793,0.22723563,2.34866631
2002NT30,16.07,90.066077,269.342569,20.151386,0.27003104,3.09643198
2006TP39,17.46,32.721623,33.592782,7.047978,0.12748016,2.42361178
2008DG30,18.52,302.316899,175.778429,1.627561,0.14042494,2.42703224
2011DD20,16.89,140.789918,125.053529,7.336117,0.12276353,2.55237176
2012LF9,16.27,169.105907,149.934677,14.785845,0.05120612,3.12629447
2012LN21,16.06,241.236454,74.524838,10.7994,0.09287765,3.12163011
2013OT8,16.43,198.660842,272.991935,7.891611,0.10286809,3.05859293
2014OC154,18.62,311.862169,36.532892,2.270105,0.18937598,2.16611683
2014UR19,16.95,24.378427,208.364053,13.974537,0.06816524,2.61931483
2000TO13,18.14,153.995111,202.704491,2.210038,0.19515086,2.24421439
2001UZ186,15.99,44.076823,28.143431,16.737878,0.09342731,3.10949362
2002CA112,17.35,354.377341,157.317619,22.856369,0.0749525,1.89418556
2005JH39,16.84,20.469023,229.924382,9.887643,0.15989079,3.14014439
2006DR99,16.51,349.518435,355.923514,12.968501,0.18102322,2.73543465
2008EE92,18.04,152.623393,64.341696,2.839768,0.17784549,2.33100296
2009WB181,16.88,110.285187,79.420664,17.225812,0.18486225,2.61694812
2010FO4,15.85,264.513551,8.761534,15.83312,0.07661248,3.2183432
2012HT39,17.69,136.399748,101.516409,2.245643,0.19890979,2.34300021
2006WU124,18.25,254.071388,163.314736,5.058543,0.11856078,2.41530686
2007RW57,16.09,197.507197,184.119221,11.862276,0.232407,3.07457078
2012TS90,16.24,303.749453,31.698016,8.13122,0.10772393,3.11814021
1995FM10,16.29,277.451859,38.666323,10.042171,0.07031122,3.00229316
2004DZ45,18.00,0.827973,160.347177,4.852323,0.18506723,2.3392355
2005MP26,17.40,181.739232,132.187856,6.440964,0.14949349,2.34930284
2008RC110,14.57,264.545156,185.113988,19.193315,0.09363113,5.16805355
2009VG32,17.79,280.355189,205.294183,14.221947,0.09381435,2.66788369
2015BK205,17.29,298.678186,229.725423,3.860006,0.1765704,2.69652685
2004BP6,16.68,157.316192,333.376091,15.083101,0.20100444,3.09194607
2006KN41,16.91,223.494104,67.772437,14.386329,0.26796741,2.72618402
2006KC58,16.49,251.590207,86.795666,10.424422,0.15194163,2.8315636
Edabel,17.49,281.481337,81.7028,8.249107,0.2092382,2.33104907
2010BE90,16.15,318.263181,154.140211,12.631459,0.06254468,3.0727063
2011YA59,14.23,300.070235,118.877096,18.120876,0.09306116,5.21150036
2012TN179,17.66,335.631736,295.529015,5.124334,0.18869537,2.44782487
2012UQ133,17.35,169.307988,169.934112,5.270165,0.22081121,2.55624679
2006WC97,16.57,262.94291,60.765138,11.35651,0.04587617,3.18245639
2002RM57,16.91,80.415011,311.369184,3.375587,0.32086787,2.68541903
2005YX41,17.58,129.373957,304.779921,4.003851,0.21078282,2.32041323
2012UO117,18.03,265.226073,23.635912,6.630672,0.10540532,2.31103177
2015MW56,18.03,163.723157,96.12706,2.39783,0.17066154,2.27865023
